id;Movie;Budget;Box office;Release year;Rating;Popularity;Director;Producer
32;No Country for Old Men;25000000;171627166;2007;7.9;22.26;Joel Coen, Ethan Coen;Joel Coen, Ethan Coen, Scott Rudin, David Diliberto
33;Collateral;65000000;217764291;2004;7.2;22.156;Michael Mann;Michael Mann, Julie Richardson
34;Metro;55000000;31987563;1997;5.5;22.098;Thomas Carter;Roger Birnbaum
35;Daredevil;78000000;179179718;2003;5.2;22.081;Mark Steven Johnson;Arnon Milchan, Avi Arad, Gary Foster
36;Shooter;61000000;95696996;2007;7.0;21.942;Antoine Fuqua;Lorenzo Di Bonaventura
37;Bad Boys II;130000000;273339556;2003;6.5;21.77;Michael Bay;Jerry Bruckheimer
38;The Transporter;21000000;43928932;2002;6.6;21.721;Louis Leterrier, Corey Yuen;Luc Besson, Steve Chasman
39;Sin City;40000000;158733820;2005;7.4;21.55;Robert Rodriguez, Frank Miller;Elizabeth Avellan
40;L.A. Confidential;35000000;126216940;1997;7.8;21.485;Curtis Hanson;Curtis Hanson, Arnon Milchan, Michael G. Nathanson
41;Austin Powers: The Spy Who Shagged Me;33000000;312016858;1999;6.2;21.31;Jay Roach;Eric McLeod, Jennifer Todd, Suzanne Todd, John S. Lyons, Demi Moore, Mike Myers
